custid,Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight
50,2,30,26,14,15,18,17,20,18,20,17,21,57
51,2,29,19,19,10,16,20,19,21,17,18,22,44
52,2,28,20,18,16,18,21,30,21,17,18,23,47
53,1,30,22,15,18,12,10,20,18,18,17,23,57
54,1,25,19,21,16,19,23,18,19,26,19,14,58
55,1,30,18,20,20,12,10,22,19,27,16,18,59
56,2,18,17,21,18,16,20,17,20,26,17,17,51
57,2,19,17,18,20,19,15,17,20,17,14,19,59
58,1,28,20,20,18,19,11,18,17,15,11,20,52
59,2,17,21,19,14,13,15,16,17,21,22,38,60
60,1,6,17,9,8,8,10,10,11,8,17,19,25
61,1,8,19,15,13,9,15,15,21,24,17,31,50
62,1,24,21,17,11,8,20,9,25,21,18,37,60
63,2,54,26,18,13,11,23,16,23,27,22,46,72
64,1,16,16,13,17,13,19,16,17,18,18,37,34
65,2,24,24,21,19,12,10,20,24,21,19,34,38
66,1,15,19,15,7,8,13,15,17,20,21,37,51
67,1,4,18,13,15,12,15,15,16,19,13,26,43
68,1,21,22,16,16,8,9,11,14,20,21,30,50
69,1,38,20,17,21,14,13,16,22,27,21,41,47
70,1,49,23,16,14,11,14,14,20,22,23,33,52
71,2,22,24,18,21,19,21,23,23,27,21,28,59
72,1,3,15,7,7,6,7,10,10,11,8,17,23
73,1,12,19,16,15,13,20,16,24,39,21,42,62
74,2,18,22,18,18,15,17,20,21,26,22,19,38
75,1,37,25,19,17,22,17,22,19,27,20,27,47
76,1,21,17,14,17,15,19,16,22,25,21,41,50
77,1,16,23,15,13,10,13,13,20,22,16,30,56
78,1,19,20,18,11,9,20,14,21,9,19,41,55
79,2,32,16,7,8,8,7,8,10,24,8,18,24
80,2,3,21,19,10,10,22,10,23,24,19,37,60
81,1,42,24,15,13,9,10,16,21,10,20,36,61
82,1,2,15,7,11,8,7,15,7,22,7,16,24
83,1,50,20,18,7,8,10,23,19,20,24,34,38
84,1,37,21,19,12,16,18,14,26,23,26,29,37
85,1,20,24,13,18,21,21,24,25,19,19,49,75
86,2,7,17,11,15,12,13,16,15,22,13,26,40
87,1,17,19,10,15,13,15,17,21,22,19,33,47
88,1,24,20,18,12,11,22,13,22,25,20,40,57
89,1,3,16,8,7,7,8,9,9,10,9,18,23
90,1,34,20,18,10,9,21,10,24,22,19,38,59
91,2,24,22,16,12,10,11,14,23,25,19,38,60
92,1,21,18,14,9,9,10,11,20,23,15,30,53
93,1,6,20,18,12,11,13,11,22,25,20,40,61
94,1,31,16,14,12,10,13,19,15,20,11,22,33
95,1,4,20,16,12,10,14,14,20,25,18,32,51
96,1,7,26,19,14,12,23,16,24,28,23,46,73
97,1,54,20,17,14,13,14,15,22,26,21,42,62
98,1,19,20,16,8,9,14,16,18,21,22,38,52
99,2,15,23,16,14,11,14,14,21,23,17,33,56
100,1,24,22,17,12,13,22,12,23,27,20,46,62
101,1,32,20,17,18,9,16,8,23,13,20,30,40
102,1,16,16,8,12,8,7,10,11,11,8,17,23
103,2,2,20,19,13,12,16,17,7,27,19,39,43
104,1,28,22,19,20,18,20,23,24,27,19,39,38
105,1,22,20,13,10,8,10,12,23,19,20,34,75
106,1,8,23,20,16,15,14,16,13,27,23,45,53
107,1,36,23,16,11,10,14,14,25,25,20,39,53
108,2,21,23,16,21,14,20,17,22,22,21,30,43
109,1,32,17,14,18,14,20,17,20,19,19,39,34
110,1,16,21,18,18,14,18,19,18,26,22,40,46
111,1,17,19,12,17,13,16,18,23,23,20,38,42
112,1,18,23,20,14,13,17,16,20,28,20,40,48
113,1,24,22,17,22,13,22,19,23,20,20,27,47
114,1,32,25,19,23,18,23,20,22,23,23,29,56
115,1,42,24,18,21,20,22,24,26,28,18,38,59
116,1,4,18,12,14,13,14,15,16,18,14,25,42
117,2,19,19,18,15,213,14,17,16,20,23,36,60
118,1,20,18,19,16,12,15,16,15,18,25,38,59
119,1,21,16,22,20,23,14,19,16,17,26,29,62
120,1,17,17,17,21,15,13,11,14,18,27,34,41
121,1,16,22,16,10,17,10,13,22,17,21,34,57
122,2,24,21,14,9,10,17,20,16,18,20,37,49
123,2,18,17,19,8,11,14,19,14,20,21,30,63
124,1,37,19,20,13,18,18,18,16,21,19,23,49
125,2,50,16,23,18,12,50,14,22,12,18,29,44
126,2,42,14,10,12,9,49,17,20,25,17,13,54
127,1,40,12,14,11,18,36,17,21,23,16,27,64
128,1,35,15,19,16,10,26,16,19,24,22,28,69
129,1,29,13,18,17,23,19,13,20,21,19,30,67
130,1,55,18,17,15,24,60,14,14,20,23,29,57
131,2,25,22,14,11,14,10,19,15,19,21,31,68
132,2,33,25,16,12,13,20,13,21,17,20,29,69
133,1,39,16,15,14,14,21,19,15,17,22,24,48
134,1,17,23,20,10,9,18,20,16,16,19,20,58
135,1,22,15,19,11,16,19,21,12,18,18,21,60
136,1,25,13,22,14,12,20,22,21,19,19,22,57
137,1,32,11,11,19,14,21,21,15,21,22,30,48
138,2,39,24,10,11,18,21,19,20,23,20,29,49
139,1,49,16,10,16,20,10,14,16,21,21,25,54
140,2,26,13,14,13,11,17,17,19,20,30,30,47
141,2,44,10,16,10,19,31,16,20,19,20,29,66
142,1,25,9,17,7,10,29,14,17,18,18,19,49
143,1,15,14,18,9,9,12,15,19,20,21,20,54
144,2,50,21,19,10,20,52,36,40,36,30,29,47
145,2,42,21,12,11,19,40,44,41,33,29,30,40
146,1,20,22,18,17,15,14,15,24,22,21,21,55
147,1,31,18,19,20,15,21,22,22,19,20,13,52
148,1,19,17,14,16,9,9,14,23,25,13,20,32
149,2,24,19,20,21,10,10,30,18,15,19,9,35
150,2,27,23,16,17,12,11,18,15,21,20,15,56
151,2,29,25,18,19,14,12,19,19,22,25,20,50
152,2,30,20,20,18,16,16,20,25,23,15,18,45
153,1,31,16,18,18,18,23,18,23,22,20,18,45
154,2,28,16,19,16,12,24,17,24,24,14,19,51
155,1,23,18,17,18,11,19,14,20,26,21,24,48
156,2,29,15,20,19,16,21,18,19,20,22,22,43
157,1,35,17,18,20,15,18,19,21,21,14,23,52
158,1,18,25,18,21,17,20,20,23,25,23,26,39
159,1,20,23,22,20,12,21,21,24,22,22,27,45
160,1,35,19,18,18,19,18,22,17,19,20,21,48
161,1,32,18,16,20,16,20,18,22,20,19,19,31
162,1,31,20,21,18,17,21,19,18,18,18,19,60
163,2,20,21,18,19,14,18,17,19,17,17,19,50
164,2,19,24,21,20,10,18,20,20,14,24,16,49
165,1,18,19,18,16,19,19,21,23,23,22,20,33
166,2,24,20,21,18,15,29,22,24,28,21,22,39
167,2,22,20,19,19,14,22,20,23,27,20,21,47
168,1,21,24,20,18,13,14,18,21,19,20,20,53
169,2,26,17,16,18,10,17,17,17,20,18,19,41
170,1,18,18,15,17,11,16,15,20,21,16,21,52
171,1,27,19,16,17,13,19,14,25,25,19,20,48
172,1,29,21,20,18,12,20,20,19,20,20,19,51
173,1,30,21,18,18,12,19,19,20,22,21,18,40
174,1,20,20,21,20,17,20,18,24,19,22,21,55
175,1,5,18,13,14,13,13,12,12,16,9,19,30
176,2,25,22,17,20,16,20,20,20,20,19,30,50
177,2,3,19,10,14,15,8,7,7,12,6,16,20
178,2,7,21,14,15,21,14,12,12,16,11,25,30
179,1,50,24,21,19,13,27,30,20,21,19,30,50
180,1,16,19,16,16,21,15,16,20,20,20,40,52
181,1,5,22,12,11,14,6,8,11,11,18,16,31
182,1,20,17,18,16,11,20,20,20,21,16,32,52
183,1,4,21,10,12,16,8,7,66,7,8,17,21
184,1,23,22,15,9,8,20,10,66,20,15,31,51
185,1,17,18,16,8,7,7,11,21,21,16,32,52
186,1,13,16,16,7,9,10,14,22,20,17,31,40
187,2,18,19,17,10,6,9,11,19,22,12,27,46
188,2,2,21,6,6,7,11,7,16,7,8,17,21
189,2,3,23,11,8,5,9,7,7,11,7,17,30
190,2,7,21,13,10,6,7,12,8,21,10,25,36
191,2,14,22,16,7,9,9,10,20,20,10,30,43
192,1,20,19,17,7,11,10,10,21,18,16,36,46
193,1,31,24,17,10,9,11,10,22,18,20,40,46
194,1,12,21,16,9,6,11,10,17,23,17,32,56
195,1,6,22,10,8,9,10,10,21,21,13,23,41
196,1,3,18,19,10,10,6,12,21,20,12,30,35
197,1,27,25,20,11,11,10,14,20,21,19,34,40
198,1,26,23,17,12,12,11,12,20,16,17,30,52
199,1,36,21,15,13,11,7,13,21,17,20,42,42
200,1,31,21,16,11,10,6,11,22,20,19,39,70
201,1,25,23,18,13,11,10,14,20,20,14,30,56
202,1,4,19,13,16,15,14,15,14,19,10,21,32
203,1,27,21,18,21,19,21,22,24,22,20,40,57
204,1,2,18,9,10,9,9,10,9,15,9,18,23
205,1,9,20,15,15,16,15,16,16,19,13,26,35
206,1,60,23,22,20,23,30,34,24,25,20,40,55
207,2,18,24,17,18,15,16,18,22,22,21,42,57
208,2,4,18,14,12,10,9,10,12,12,9,18,32
209,1,22,27,17,20,18,21,22,23,22,19,39,55
210,2,2,18,9,13,9,9,10,8,10,9,18,23
211,1,24,20,10,10,9,21,11,23,21,19,38,53
212,1,19,21,17,9,10,9,12,24,22,20,40,56
213,1,15,19,17,8,8,11,15,20,20,20,40,50
214,2,19,21,18,11,9,10,13,20,23,15,30,48
215,2,3,17,8,7,7,10,9,9,10,9,18,23
216,1,4,19,12,9,8,11,9,10,12,10,20,32
217,1,8,20,12,11,9,8,13,19,21,15,30,40
218,1,16,22,17,9,9,10,12,21,23,18,32,47
219,1,21,24,18,10,10,13,13,22,24,19,38,50
220,1,32,23,18,11,12,12,12,24,26,21,42,60
221,1,14,20,17,10,10,11,12,21,24,19,38,43
222,1,7,20,16,10,8,12,12,18,20,14,28,38
223,1,4,18,10,11,10,10,10,20,21,16,32,41
224,1,29,22,18,12,11,12,15,23,26,21,42,54
225,1,28,20,18,14,12,10,16,23,25,20,40,46
226,1,35,22,19,15,14,14,15,24,26,22,44,72
227,1,30,22,18,12,13,15,15,23,25,21,42,64
228,2,24,24,17,15,12,13,15,22,24,16,32,57
229,1,30,23,18,12,29,32,16,22,20,21,20,64
230,2,3,18,11,10,22,37,23,13,10,10,17,22
231,1,20,22,18,16,30,37,28,25,19,22,40,46
232,1,34,23,20,17,34,41,24,25,18,22,40,59
233,1,35,24,21,18,37,28,24,23,17,23,39,57
234,1,12,20,14,12,27,33,27,18,14,14,29,57
235,1,30,23,18,15,29,26,20,23,22,22,41,64
236,1,15,20,14,11,23,23,15,19,17,14,30,50
237,1,18,19,18,15,28,34,28,25,24,23,39,80
238,1,17,21,16,13,28,25,28,22,20,18,36,79
239,1,10,21,14,9,25,42,26,17,17,18,26,71
240,1,25,27,20,17,37,42,28,23,20,17,37,60
241,1,32,25,19,16,37,36,8,23,23,20,38,24
242,1,34,22,19,17,32,38,24,24,25,19,36,59
243,1,37,24,20,18,36,38,37,23,20,23,39,68
244,2,1,11,6,16,13,13,14,9,9,9,13,21
245,1,1,12,5,17,12,13,15,9,9,7,13,20
246,2,3,11,6,15,13,12,14,9,10,8,13,22
247,1,4,13,5,18,14,14,17,10,9,8,14,23
248,1,3,18,8,20,20,22,20,8,12,8,15,24
249,2,2,11,87,15,13,12,14,9,9,6,13,19
250,2,1,12,7,16,13,12,15,10,10,8,12,20
251,1,4,22,11,22,20,21,22,7,14,13,24,27
252,2,3,20,10,20,20,21,22,8,14,13,23,24
253,2,4,22,11,21,20,23,24,10,10,13,22,25
254,1,5,22,15,20,19,18,20,19,22,12,16,45
255,2,6,20,14,19,17,16,18,18,20,12,26,43
256,2,7,21,15,19,17,16,18,18,21,12,37,45
257,1,8,20,13,26,23,26,27,10,19,19,31,52
258,2,9,23,15,26,21,20,22,13,19,18,32,55
259,1,10,24,16,27,24,23,24,17,19,20,33,50
260,2,11,25,16,27,28,25,28,21,22,45,49,59
261,2,12,26,14,28,24,25,27,22,23,26,40,60
262,1,13,28,19,27,23,24,27,21,23,26,40,62
263,2,19,29,19,31,28,28,28,30,26,30,46,68
264,1,20,26,17,28,21,26,28,27,26,29,40,67
265,1,21,28,18,28,23,25,27,21,27,29,43,69
266,2,22,20,28,19,28,22,26,28,27,26,40,68
267,2,23,20,18,28,23,25,26,25,28,28,41,69
268,1,24,28,18,28,23,24,26,28,27,27,42,72
269,2,25,26,20,37,28,26,27,28,28,27,42,74
270,1,26,26,20,38,27,28,27,27,26,25,40,85
271,1,27,28,20,31,30,32,38,30,28,27,41,86
272,2,20,29,20,32,28,32,32,28,29,29,42,89
273,1,1,11,6,15,13,12,14,9,9,6,13,19
274,2,1,11,5,16,13,13,15,9,9,6,13,20
275,1,4,20,9,22,21,21,20,7,14,13,22,38
276,2,4,22,11,23,22,24,24,8,17,15,26,44
277,1,1,19,9,21,20,22,20,6,13,9,16,31
278,1,3,18,9,22,21,22,20,7,13,9,16,20
279,1,3,18,8,20,20,22,20,8,12,8,15,24
280,2,1,12,7,16,13,12,14,10,10,9,13,25
281,2,3,20,10,20,21,23,21,11,10,9,17,19
282,2,4,22,11,22,20,21,22,7,14,13,23,27
283,1,5,20,14,18,17,16,18,18,20,12,26,43
284,2,6,22,15,19,18,19,15,20,20,13,28,51
285,2,7,24,16,19,20,20,22,20,21,14,29,56
286,1,8,24,15,20,22,21,20,21,22,16,30,61
287,1,9,24,16,22,20,23,22,22,22,17,30,61
288,2,10,22,13,26,23,27,26,20,16,19,31,71
289,1,11,24,16,28,24,24,25,23,28,21,38,72
290,2,12,25,15,17,25,24,26,22,26,20,37,71
291,2,13,25,16,27,25,24,28,24,26,20,38,73
292,1,15,26,17,28,24,24,25,23,25,21,39,78
293,1,17,28,18,29,28,27,28,25,27,24,40,79
294,2,17,26,18,29,28,28,29,26,30,25,40,79
295,1,18,26,19,28,28,27,28,29,29,27,41,80
296,2,18,28,19,28,28,27,28,29,29,27,41,82
297,1,20,29,19,28,26,28,28,29,28,28,40,82
298,2,20,28,19,29,27,27,28,27,26,28,41,87
299,1,21,26,17,38,27,28,27,27,26,25,40,85
300,2,21,25,18,32,28,31,31,28,27,26,41,86
301,1,21,26,20,31,30,32,26,29,28,29,42,89
302,1,1,11,6,15,13,12,14,9,9,6,13,20
303,2,1,11,5,16,13,13,15,9,9,7,13,21
304,1,1,12,5,17,12,13,15,10,9,8,13,22
305,1,1,13,5,17,13,14,16,10,9,8,14,23
306,2,1,14,5,18,14,14,17,10,9,8,15,24
307,2,5,20,14,19,17,16,18,18,20,12,26,43
308,1,5,21,15,20,18,16,18,18,21,12,27,44
309,1,5,22,15,20,19,18,20,19,22,12,26,45
310,1,10,22,12,25,22,26,24,7,15,4,32,51
311,2,10,22,12,25,23,27,26,8,16,14,32,52
312,2,10,20,13,26,23,26,27,10,19,19,31,52
313,1,9,21,14,26,21,23,29,11,18,18,32,53
314,1,11,23,15,26,21,20,22,13,19,19,32,54
315,2,11,24,16,27,24,23,24,17,19,20,33,55
316,1,11,24,16,28,27,26,28,19,20,21,34,56
317,1,12,26,17,28,26,25,27,20,21,22,36,57
318,1,12,26,16,27,28,25,28,21,22,24,28,59
319,2,12,26,18,28,28,25,27,21,22,25,39,59
320,1,13,28,18,27,22,25,27,21,23,26,40,62
321,1,14,26,18,28,23,25,27,21,23,26,40,63
322,2,19,26,18,30,25,26,29,28,26,28,41,65
323,1,17,27,18,30,26,26,29,29,26,28,41,56
324,1,19,28,26,31,28,28,29,30,26,29,42,68
325,2,18,29,19,32,28,27,29,31,26,30,42,67
326,1,19,29,20,31,26,26,29,30,27,30,42,69
327,1,19,28,18,28,23,25,27,21,26,29,40,68
328,2,20,26,17,28,21,26,28,27,26,29,40,69
329,1,20,28,18,28,22,25,26,25,27,28,21,68
330,1,22,26,20,27,28,26,28,27,28,28,42,72
331,1,2,18,9,8,19,18,20,9,10,8,14,31
332,2,2,19,9,9,20,19,21,20,11,9,16,35
333,1,3,11,8,11,19,12,11,16,10,9,18,32
334,2,4,18,8,10,7,16,10,20,12,10,20,35
335,2,4,20,10,10,20,20,20,13,13,11,22,38
336,1,4,19,10,10,20,20,20,13,13,10,11,38
337,2,4,20,11,11,22,22,22,16,12,12,22,39
338,1,4,20,11,10,20,20,21,18,10,12,19,37
339,1,4,20,11,11,22,22,22,16,12,12,22,39
340,1,5,20,10,9,22,23,24,14,15,11,22,42
341,1,6,21,9,9,20,20,20,14,11,9,17,37
342,2,6,21,10,6,19,20,19,12,19,9,17,38
343,2,6,20,9,10,22,21,20,12,18,12,18,39
344,1,8,18,18,9,19,12,9,14,11,13,21,42
345,2,11,19,13,11,20,22,11,18,14,9,32,50
346,1,12,21,11,9,20,22,10,17,19,19,32,50
347,2,15,22,17,15,37,38,42,19,22,18,35,59
348,1,18,20,19,17,44,42,46,28,19,26,37,66
349,1,14,22,14,16,34,20,38,24,19,19,35,64
350,2,20,21,18,19,34,37,39,22,17,15,33,59
351,1,29,23,21,19,42,38,44,28,22,18,37,66
352,1,37,22,17,14,33,33,37,25,24,23,41,68
353,2,49,24,19,17,46,48,63,20,24,15,34,60
354,2,52,22,16,17,41,14,45,19,16,17,33,60
355,2,23,22,18,16,45,47,62,19,21,17,33,62
356,1,40,22,18,14,45,45,46,25,27,22,39,70
357,1,51,23,19,15,37,36,39,24,22,20,36,65
358,1,65,22,18,16,36,39,41,24,31,25,39,68
359,1,62,24,21,20,47,45,44,23,30,23,38,67
360,1,65,22,18,16,36,39,41,24,31,25,39,68
361,1,46,22,21,18,45,43,45,22,32,23,36,64
362,1,65,23,17,16,40,39,40,25,30,24,37,64
363,1,44,25,19,17,42,44,44,24,26,27,40,69
364,1,40,22,18,14,45,45,46,25,27,22,39,70
365,1,68,21,18,17,36,37,37,23,23,19,36,64
366,1,44,23,19,17,43,44,45,24,31,24,36,67
367,1,37,22,17,15,33,33,37,25,24,23,41,68
368,1,51,23,19,15,37,36,39,24,22,20,36,65
369,1,39,22,17,16,35,36,37,25,22,23,36,67
370,1,51,22,18,19,32,35,39,22,27,24,38,68
371,1,29,23,21,17,42,38,44,28,22,18,37,66
372,1,18,20,19,16,44,42,46,28,19,20,38,64
373,2,18,21,15,15,35,38,40,22,18,19,34,60
374,2,16,22,18,20,31,32,32,21,18,19,35,61
375,2,18,23,19,23,32,37,40,23,19,22,37,59
376,2,24,23,16,17,40,41,45,21,22,21,37,65
377,2,52,22,16,9,41,41,45,19,16,17,33,60
378,2,1,19,9,16,20,18,21,19,11,9,16,35
379,1,14,22,18,17,37,20,38,24,17,19,35,64
380,2,49,24,19,15,46,48,63,20,22,15,34,60
381,2,15,22,17,10,37,38,42,19,21,18,35,59
382,1,8,21,11,9,23,24,26,16,17,12,26,49
383,1,5,20,10,8,22,23,24,14,15,11,22,42
384,1,1,18,9,16,19,18,20,9,10,7,13,31
385,2,28,22,18,16,45,47,62,19,21,17,33,62
386,2,21,22,18,19,43,45,59,19,20,16,33,60
387,2,20,21,18,19,34,37,39,22,17,15,33,59
388,1,10,20,14,12,24,25,12,19,14,14,30,52
389,1,7,19,11,9,13,22,9,15,13,13,20,45
390,1,7,20,12,10,22,22,11,16,14,12,26,47
391,1,6,21,9,9,20,20,10,14,11,9,17,37
392,1,7,20,12,9,11,23,9,14,17,23,20,41
393,1,12,21,11,9,10,22,10,17,19,29,22,50
394,1,10,21,12,9,10,22,12,15,18,24,25,44
395,1,7,21,11,8,11,22,11,13,11,9,21,46
396,1,6,20,12,9,10,23,10,12,17,12,22,45
397,1,7,21,13,11,10,21,10,13,17,12,22,45
398,1,9,20,11,10,23,24,11,18,13,13,28,50
399,1,6,20,9,9,20,20,10,14,11,9,17,37
400,1,6,20,10,9,20,20,10,14,11,9,17,36
401,1,6,21,10,6,20,21,10,13,12,9,18,37
402,2,6,21,9,10,19,20,9,12,19,9,17,38
403,2,6,20,9,10,22,21,10,12,18,12,18,39
404,2,6,19,4,9,20,20,11,13,12,9,19,37
405,2,6,20,5,10,20,20,10,14,11,9,17,36
406,2,6,20,14,12,21,22,11,13,12,9,16,37
407,2,9,20,13,13,24,25,12,19,14,14,30,50
408,2,7,21,9,9,20,22,12,20,13,9,31,51
409,2,6,20,9,9,20,20,10,14,11,9,17,37
410,2,9,20,11,13,21,20,9,13,12,9,18,37
411,2,10,22,14,12,24,24,13,18,14,14,35,50
412,2,12,19,14,11,23,21,11,19,13,14,31,51
413,2,11,19,13,12,20,22,11,18,14,9,32,50
414,2,10,20,13,11,21,20,10,19,13,9,35,55
415,2,6,19,14,11,20,22,10,19,18,9,30,36
416,1,10,19,19,11,21,13,10,15,12,14,22,43
417,1,11,19,19,10,11,12,12,17,19,15,25,43
418,1,13,20,20,13,22,12,11,19,22,18,29,47
419,1,12,20,19,13,21,12,11,19,21,18,29,46
420,1,14,21,20,15,22,13,13,21,23,19,30,48
421,1,14,21,19,14,21,12,11,20,21,18,31,49
422,1,15,22,19,13,20,11,10,19,20,17,17,46
423,1,10,19,19,11,21,13,11,16,12,14,22,43
424,2,10,19,18,12,22,12,12,15,12,14,21,43
425,1,8,18,18,9,19,12,9,14,11,13,21,42
426,1,9,19,19,10,20,13,10,15,12,14,22,43
427,2,6,22,9,10,18,21,22,14,11,23,24,39
428,1,10,20,14,11,24,25,27,20,18,16,28,28
429,1,8,19,13,11,21,22,24,17,15,19,21,43
430,2,7,20,13,10,20,25,24,16,23,18,21,41
431,2,8,20,13,10,22,23,24,18,19,17,25,44
432,2,8,19,13,9,29,23,25,18,16,17,24,44
433,1,9,20,13,11,24,24,25,18,15,17,26,47
434,1,8,21,13,11,23,26,25,18,16,17,26,46
435,1,8,18,11,9,20,12,24,17,15,16,23,44
436,2,10,20,14,10,26,26,28,18,16,16,28,48
437,2,8,22,12,9,20,23,23,18,13,17,23,44
438,2,10,24,13,10,25,27,26,20,16,15,26,47
439,2,8,21,11,10,22,23,26,17,15,15,27,48
440,2,13,22,14,14,24,27,28,23,22,19,33,54
441,2,11,20,13,11,22,23,23,27,23,16,17,52
442,2,13,22,14,14,24,27,28,23,22,19,32,54
443,2,11,21,13,12,23,25,26,17,17,19,29,51
444,1,4,19,10,10,20,20,20,13,13,10,22,38
445,1,11,21,14,12,22,24,25,18,17,28,28,45
446,2,12,21,15,12,24,26,28,18,17,15,28,44
447,2,4,20,10,10,20,20,20,13,13,10,22,38
448,1,11,20,13,11,22,23,23,27,22,16,17,52
449,2,8,20,14,12,24,26,11,17,16,16,26,48
450,1,15,22,14,14,27,28,23,22,19,23,13,54
451,1,8,22,9,10,18,21,22,14,11,23,24,39
452,2,10,24,13,10,25,27,26,20,16,15,26,47
453,2,10,20,14,11,21,23,11,17,19,15,25,46
454,2,7,20,13,10,20,25,24,16,23,18,21,44
455,1,11,20,12,13,24,25,27,24,16,18,31,43
456,2,9,20,10,13,22,10,12,23,15,13,26,45
457,1,6,19,9,11,20,11,13,18,12,12,22,41
458,1,6,21,10,12,22,9,12,19,13,12,23,43
459,1,7,16,10,11,20,10,14,20,11,13,25,43
460,2,7,19,10,13,21,11,11,16,13,13,23,43
461,1,9,20,10,12,19,9,11,19,13,13,25,45
462,2,8,20,10,13,19,10,14,19,11,12,25,42
463,1,10,20,12,17,23,11,14,23,14,15,29,51
464,1,9,21,10,12,21,12,13,21,13,14,26,46
465,2,9,20,11,12,20,10,14,21,11,14,28,48
466,1,12,20,12,12,21,12,13,24,13,15,28,49
467,1,9,20,10,13,21,12,13,20,12,13,24,44
468,1,7,21,11,13,22,12,11,21,12,12,24,44
469,1,8,20,10,12,19,10,11,18,13,12,24,43
470,1,5,20,9,12,19,10,12,18,12,19,20,39
471,1,5,19,9,11,20,11,10,17,12,11,22,39
472,2,12,18,8,10,17,6,9,12,9,10,20,35
473,2,8,20,9,11,21,11,14,20,12,13,24,44
474,1,10,20,12,17,23,11,17,23,14,15,29,42
475,1,5,19,8,11,20,11,15,12,1,22,24,45
476,2,10,20,11,15,21,12,13,22,13,15,28,48
477,2,12,20,10,14,21,12,25,22,14,14,27,47
478,2,13,20,11,16,21,14,14,22,14,15,30,52
479,2,12,19,10,14,21,11,14,17,13,14,27,46
480,2,9,21,11,12,21,12,11,22,13,14,26,46
481,2,6,19,10,12,20,10,10,21,12,11,22,38
482,1,3,19,8,11,19,7,13,18,10,9,18,32
483,2,13,20,12,14,23,13,15,16,13,16,30,51
484,2,13,20,14,15,24,12,15,25,13,17,31,51
485,2,18,20,14,13,24,26,11,17,16,16,26,48
486,1,11,20,14,13,23,23,13,17,19,17,26,33
487,1,9,20,13,11,21,22,11,17,16,15,25,46
488,2,10,24,12,13,23,24,24,22,19,17,30,49
489,2,10,20,14,11,21,23,11,17,22,15,25,46
490,2,13,22,14,14,24,27,28,23,18,19,33,54
491,1,10,24,12,13,23,24,24,22,23,17,30,49
492,2,7,20,13,10,20,25,24,16,17,18,21,44
493,2,11,21,13,12,23,25,26,17,16,19,29,51
